date,title,link,symbol
Today 12:34AM,TSMCs Sales Beat Estimates in a Boost for AIs Outlook in 2025,https://finance.yahoo.com/news/tsmc-sales-beat-estimates-boost-053436384.html,AAPL
Jan-09-25 09:08PM,Apple executive departs Indonesia after iPhone ban deal hiccup,https://www.digitimes.com/news/a20250110VL202/apple-iphone-ban-government-sales.html,AAPL
07:30PM,Apple Clarifies Siri Privacy Policy After $95 Million Settlement Over Allegations Of Unauthorized Recordings,https://finance.yahoo.com/news/apple-clarifies-siri-privacy-policy-003037532.html,AAPL
05:45PM,Apple (AAPL) Surpasses Market Returns: Some Facts Worth Knowing,https://finance.yahoo.com/news/apple-aapl-surpasses-market-returns-224521549.html,AAPL
05:20PM,Apple Invents an Adjustable Eye Relief System for Future HMDs with Movable Optical Assemblies,https://www.patentlyapple.com/2025/01/apple-invents-an-adjustable-eye-relief-system-with-movable-optical-assemblies.html,AAPL
05:09PM,Elon Musks xAI Launches Stand-Alone Grok App,https://finance.yahoo.com/m/21934474-e56a-3c74-b508-dfda83a3c8ef/elon-musk%E2%80%99s-xai-launches.html,AAPL
04:19PM,Is Apple Inc. (AAPL) the Best Technology Stock to Invest In for the Long Term,https://finance.yahoo.com/news/apple-inc-aapl-best-technology-211952046.html,AAPL
03:47PM,Doublepoint launches free Apple Watch app to control devices with hand gestures,https://finance.yahoo.com/m/95d38351-0f8b-381b-a9fa-b66e0b4ec390/doublepoint-launches-free.html,AAPL
02:59PM,The TikTok Ban Heads to the Supreme Court Tomorrow. Heres What to Know.,https://finance.yahoo.com/m/62f4a963-a10c-3e8c-a9c9-d89cc77edfb2/the-tiktok-ban-heads-to-the.html,AAPL
02:07PM,Barclays Sees Mixed Start for Apple in 2025 Amid Regulatory and Geopolitical Challenges,https://finance.yahoo.com/news/barclays-sees-mixed-start-apple-190750017.html,AAPL
02:01PM,"Microsoft, Google, Adobe Give $1 Million Each to Trump Inaugural Fund",https://finance.yahoo.com/news/microsoft-google-adobe-1-million-190121729.html,AAPL
01:12PM,"Apple Inc. (AAPL) Downgraded to Sell by MoffettNathanson, Price Target Cut Amid Weak iPhone 16 Sales and Regulatory Pressures",https://finance.yahoo.com/news/apple-inc-aapl-downgraded-sell-181202619.html,AAPL
11:11AM,Apple Clarifies Siri Privacy Measures After $95 Million Settlement,https://finance.yahoo.com/news/apple-clarifies-siri-privacy-measures-161117604.html,AAPL
10:22AM,Top 3 tech trends that dominated CES 2025,https://finance.yahoo.com/video/top-3-tech-trends-dominated-152212309.html,AAPL
10:10AM,Apple says Siri isn't eavesdropping and selling your data,https://finance.yahoo.com/m/55d589ff-3fc1-388e-a5b9-79fcfa787053/apple-says-siri-isn%27t.html,AAPL
08:37AM,Health Tracking Is Moving To Smart Rings From Watches. Oura Leads Market.,https://finance.yahoo.com/m/3749f37e-d4f3-3038-8571-bfd1ed37a0c1/health-tracking-is-moving-to.html,AAPL
08:10AM,CDT Capital Management Explains Commonsense Violations With the Help of Apple (AAPL) Stock,https://finance.yahoo.com/news/cdt-capital-management-explains-commonsense-131003473.html,AAPL
07:39AM,Why Apple Stock Gained 30% Last Year,https://finance.yahoo.com/m/713ba241-d070-3bed-9752-872fab73a2fe/why-apple-stock-gained-30%25.html,AAPL
06:40AM,"Stocks are priced for 'perfection' and more vulnerable to a correction, Goldman warns",https://finance.yahoo.com/news/stocks-are-priced-for-perfection-and-more-vulnerable-to-a-correction-goldman-warns-114026237.html,AAPL
05:30AM,TikTok Ban at the Supreme Court: What to Know Ahead of Oral Arguments,https://finance.yahoo.com/m/62f4a963-a10c-3e8c-a9c9-d89cc77edfb2/tiktok-ban-at-the-supreme.html,AAPL
05:29AM,Apple Defends Siri After $95 Million Privacy Lawsuit Settlement,https://finance.yahoo.com/m/8746f0dc-6a6d-3aa4-9850-1fdb469a7450/apple-defends-siri-after-%2495.html,AAPL
05:21AM,5 Magnificent Stocks (Not Named Nvidia) Billionaire Money Managers Are Piling Into for 2025,https://finance.yahoo.com/m/ae06f16b-0b57-318a-bd88-85c8fd9bd79e/5-magnificent-stocks-%28not.html,AAPL
04:59AM,1 Vanguard ETF to Confidently Buy With $430 During the S&P 500 Bull Market in 2025,https://finance.yahoo.com/m/4628d8e4-0ebc-3cb3-8bcf-f0f96ba2da28/1-vanguard-etf-to-confidently.html,AAPL
04:23AM,My Top 5 Warren Buffett Buys for 2025,https://finance.yahoo.com/m/3ac89f9a-160d-3c99-b8d6-6a70a761ff83/my-top-5-warren-buffett-buys.html,AAPL
04:02AM,Apple vs. Microsoft: Which Is the Better Artificial Intelligence Stock to Buy in 2025?,https://finance.yahoo.com/m/8e6f272b-519c-30c0-a420-0a7637ac3005/apple-vs.-microsoft%3A-which-is.html,AAPL
Jan-08-25 10:00PM,Apple clarifies Siri privacy stance after $95 million class action settlement,https://finance.yahoo.com/news/apple-clarifies-siri-privacy-stance-030030906.html,AAPL
08:26PM,Meta ends Quest Pro production as premium MR headsets struggle,https://www.digitimes.com/news/a20250108PD230/headset-meta-apple-vision-pro-mr-market.html,AAPL
04:07PM,Apple and Nvidia 2025 top picks at Argus,https://finance.yahoo.com/news/apple-nvidia-2025-top-picks-210708762.html,AAPL
03:55PM,"Apple, Nvidia, Microsoft, Amazon, and Alphabet Drive S&P 500 Market Concentration to ...",https://finance.yahoo.com/news/apple-nvidia-microsoft-amazon-alphabet-205532443.html,AAPL
03:39PM,"Magnificent Seven Stocks: Nvidia Falls, Tesla Bounces; Meta Sells Off",https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html,AAPL
02:24PM,Analyst: Apples (AAPL) Valuation Is Ridiculously Stretched,https://finance.yahoo.com/news/analyst-apple-aapl-valuation-ridiculously-192445322.html,AAPL
01:12PM,"Rebels Plan to Occupy Mineral-Rich Congo Region, UN Experts Warn",https://finance.yahoo.com/news/rebels-plan-occupy-mineral-rich-181231784.html,AAPL
12:43PM,Apple's $1 Billion Offer Falls Short: Indonesia Keeps iPhone 16 Out of the Market,https://finance.yahoo.com/news/apples-1-billion-offer-falls-174337490.html,AAPL
11:36AM,Apple's $1 Billion Offer Fails to Lift iPhone 16 Sales Ban in Indonesia,https://finance.yahoo.com/news/apples-1-billion-offer-fails-163659012.html,AAPL
11:18AM,A new Rumor claims that the Apple Watch S9 chip is now being made in TSMC's Arizona Plant,https://www.patentlyapple.com/2025/01/a-new-rumor-claims-that-the-apple-watch-s9-chip-is-now-being-made-in-tsmcs-arizona-plant.html,AAPL
10:30AM,"Indonesia iPhone ban, Flutter, Tencent buyback: Market Minute",https://finance.yahoo.com/video/indonesia-iphone-ban-flutter-tencent-153004232.html,AAPL
09:53AM,"If I Could Buy and Hold Only a Single Stock, This Would Be It",https://finance.yahoo.com/m/a5def288-9bda-33f1-9528-776ba5349e20/if-i-could-buy-and-hold-only.html,AAPL
09:12AM,2 Warren Buffett Stocks to Buy Hand Over Fist and 1 to Avoid,https://finance.yahoo.com/m/0a175309-cf56-3c4d-9141-6d9fa53c8e01/2-warren-buffett-stocks-to.html,AAPL
08:00AM,Yahoo co-founder Jerry Yang: Masayoshi Son is recasting himself into an AI player with his $100 billion bet,https://finance.yahoo.com/news/yahoo-co-founder-jerry-yang-masayoshi-son-is-recasting-himself-into-an-ai-player-with-his-100-billion-bet-130011064.html,AAPL
05:58AM,Why Nvidia rug pull doesn't faze US stock market bulls: Morning Brief,https://finance.yahoo.com/news/why-nvidia-rug-pull-doesnt-faze-us-stock-market-bulls-morning-brief-105820262.html,AAPL
05:30AM,Why Nvidia Needs to Appeal to a Bigger Crowd,https://finance.yahoo.com/m/be2c529b-754f-3a9b-bfbe-bafdfb1fa8c8/why-nvidia-needs-to-appeal-to.html,AAPL
04:55AM,Apple executives discuss potential investment in Indonesia,https://finance.yahoo.com/m/de3e5ffc-1d19-3f1d-9df1-cb1a14e1d90a/apple-executives-discuss.html,AAPL
04:10AM,"Foxconn, Dixon Urge India to Pay Pending Production Subsidies",https://finance.yahoo.com/news/foxconn-dixon-urge-india-pay-091029835.html,AAPL
03:50AM,"Apple faces setbacks in AI push, missteps spark BBC criticism",https://www.digitimes.com/news/a20250107PD206/apple-2024-iphone-market-market-share.html,AAPL
03:27AM,Apples $1 Billion Offer Not Enough to Lift Indonesias Ban,https://finance.yahoo.com/news/apple-1-billion-offer-not-073705972.html,AAPL
02:19AM,"Apple still barred from selling iPhone 16 in Indonesia despite investment deal, minister says",https://finance.yahoo.com/news/apple-still-barred-selling-iphone-071914411.html,AAPL
02:15AM,"China Boosts Consumer Subsidies, Vows More Funding to Aid Demand",https://finance.yahoo.com/news/china-boosts-consumer-subsidies-vows-043551188.html,AAPL
Jan-07-25 11:59PM,Indonesia approves Apple's AirTag manufacturing project,https://www.digitimes.com/news/a20250108PD221/apple-indonesia-investment-iphone-ban.html,AAPL
10:04PM,Looking Ahead at Apple in 2025 (A Financial Perspective),https://www.aboveavalon.com/notes/2025/1/7/looking-ahead-at-apple-in-2025-a-financial-perspective,AAPL
08:35PM,Tata Electronics secures Pegatron India acquisition as Apple accelerates production relocation ahead of Trump 2.0,https://www.digitimes.com/news/a20250108VL200/tata-group-india-pegatron-acquisition-apple-manufacturing-supply-chain.html,AAPL
08:22PM,Looking Ahead at Apple's 2025,https://www.aboveavalon.com/notes/2025/1/7/looking-ahead-at-apples-2025,AAPL
07:55PM,Major mobile SoC designers unlikely to adopt 2nm technology by 2025,https://www.digitimes.com/news/a20250106PD204/mobile-soc-2nm-technology-apple.html,AAPL
02:52PM,"Bernstein Raises Apple (AAPL) Price Target, Highlights AI and Platform Strength",https://finance.yahoo.com/news/bernstein-raises-apple-aapl-price-195241752.html,AAPL
02:05PM,Apple: Here's why MoffettNathanson downgraded the stock to sell,https://www.youtube.com/watch?v=f5HvRJc8DQ8,AAPL
01:21PM,'Complacency' could be the biggest risk to investors in 2025,https://finance.yahoo.com/video/complacency-could-biggest-risk-investors-182107538.html,AAPL
12:20PM,Apple Stock Catches a Downgrade. Why This Analyst Isnt Impressed.,https://finance.yahoo.com/m/f2a1c03c-16d4-3e85-a9a9-9e5f11decfe1/apple-stock-catches-a.html,AAPL
10:37AM,"Apple, Tesla, Getty Images and Shutterstock: Market Minute",https://finance.yahoo.com/video/apple-tesla-getty-images-shutterstock-153711933.html,AAPL
10:07AM,"Apple Faces Tough January as China Weakness, Tariff Risks Weigh",https://finance.yahoo.com/news/apple-faces-tough-january-china-105307246.html,AAPL
09:40AM,"Apple, Tesla downgraded: Wall Street's top analyst calls",https://finance.yahoo.com/news/apple-tesla-downgraded-wall-streets-144059597.html,AAPL
09:18AM,Apple Shares Slip as Analysts Downgrade Over Valuation Woes and Growth Concerns,https://finance.yahoo.com/news/apple-shares-slip-analysts-downgrade-141817862.html,AAPL
09:17AM,Meet the Monster Stock That Continues to Crush the Market,https://finance.yahoo.com/m/ed50af1b-87ad-3f8e-a457-b48526e37312/meet-the-monster-stock-that.html,AAPL
09:00AM,Former Brown Provost Named Dean Of MIT Sloan,https://finance.yahoo.com/m/28c1dd74-535c-37a9-9f8e-f918df50e186/former-brown-provost-named.html,AAPL
08:34AM,"Apple Stock Downgraded To Sell On Google, China, Consumer AI Demand",https://finance.yahoo.com/m/45a7d2a2-67c9-3804-964d-7ce9fc1b8a61/apple-stock-downgraded-to.html,AAPL
07:32AM,Apples new chief financial officer will use the same CFO playbook say top analystsand thats good news for investors,https://finance.yahoo.com/news/apple-chief-financial-officer-same-123246973.html,AAPL
07:19AM,"Britains richest businesswoman Denise Coates takes steep pay cut to £158 million, but still earns 3-fold more than Apples Tim Cook",https://finance.yahoo.com/news/britain-richest-businesswoman-denise-coates-121936037.html,AAPL
06:54AM,"Morgan Stanley Highlights Apple, Nvidia, and Other High-Quality Tech Stocks for 2025 Outperformance",https://finance.yahoo.com/news/morgan-stanley-highlights-apple-nvidia-115454372.html,AAPL
06:08AM,Indonesian officials to discuss Apple investment proposal,https://finance.yahoo.com/m/a83a05f2-4ad3-3370-b02f-1daaa38c9aa1/indonesian-officials-to.html,AAPL
06:00AM,Column: The richest Americans finished paying their Social Security taxes last week. Most of us will pay all year,https://finance.yahoo.com/news/column-richest-americans-finished-paying-110058734.html,AAPL
05:45AM,2025 Is the Year of BATMMAAN. Artificial Intelligence (AI) Leader Nvidia Is the $1 Trillion Stock to Buy.,https://finance.yahoo.com/m/ddc8c6b8-4764-321b-97ae-35f7901c6025/2025-is-the-year-of-batmmaan..html,AAPL
04:30AM,Chinese smartphone maker Honor targets Indonesia's growing appetite for premium handsets,https://finance.yahoo.com/news/chinese-smartphone-maker-honor-targets-093000157.html,AAPL
12:52AM,"Indonesia, Apple discuss investment proposal linked to iPhone sale ban",https://finance.yahoo.com/news/indonesia-meet-apple-investment-proposal-055236765.html,AAPL
Jan-06-25 10:07PM,Analysts revamps Apple stock price target on iPhone sales,https://finance.yahoo.com/m/65d05783-baac-355c-b776-da670f88edf1/analysts-revamps-apple-stock.html,AAPL
08:29PM,"India reportedly to announce US$3 billion incentive scheme to boost electronics manufacturing, benefitting Apple",https://www.digitimes.com/news/a20250107VL200/india-electronics-manufacturing-tariff-apple.html,AAPL
05:46PM,Apple Year in Review 2024,https://www.aboveavalon.com/notes/2025/1/6/apple-year-in-review-2024,AAPL
05:40PM,"Google's Veo 2 Is a Litmus Test, Blackmagic Debuts Camera for Vision Pro, Apple Sports App Update",https://www.aboveavalon.com/notes/2025/1/6/googles-veo-2-is-a-litmus-test-blackmagic-debuts-camera-for-vision-pro-apple-sports-app-update,AAPL
05:37PM,What to Expect Across the Capital Markets in 2025,https://www.investopedia.com/the-express-podcast-episode-220-8770172,AAPL
05:34PM,Thinking Through Headset / AR Glasses Competition and Landscape,https://www.aboveavalon.com/notes/2025/1/6/thinking-through-headset-ar-glasses-competition-andnbsplandscape,AAPL
04:20PM,Nvidia Stock Climbs To Record Close Monday,https://www.investopedia.com/nvidia-stock-climbs-to-record-close-monday-ahead-of-jensen-huang-ces-keynote-address-8770013,AAPL
02:45PM,Dell Unveils Apple-Like Rebrand in Bid to Make PCs Cool Again,https://finance.yahoo.com/news/dell-unveils-apple-rebrand-bid-194500030.html,AAPL
01:57PM,Analyst: People Buying Apple Inc (AAPL) Products In Droves,https://finance.yahoo.com/news/analyst-people-buying-apple-inc-185751812.html,AAPL
12:51PM,Squawk Pod: Fmr. Speaker McCarthy on DC drama and staying fit on GLP-1s - 01/06/25  Audio Only,https://www.youtube.com/watch?v=UVNRCWfUKy4,AAPL
12:26PM,"Top Stock Movers Now: Nvidia, FuboTV, T-Mobile US, and More",https://www.investopedia.com/top-stock-movers-now-nvidia-fubotv-t-mobile-us-and-more-8769719,AAPL
11:50AM,How the AI trade is set to grow in 2025,https://finance.yahoo.com/video/ai-trade-set-grow-2025-165058235.html,AAPL
11:37AM,"TikTok Ban Thrusts Apple, Google Into US-China Geopolitical Fray",https://finance.yahoo.com/m/7493e9cd-73c4-379b-b872-dcbaeb40b7ed/tiktok-ban-thrusts-apple%2C.html,AAPL
11:00AM,"Qualcomm reveals Snapdragon X chip for AI PCs, new desktop system at CES 2025",https://finance.yahoo.com/news/qualcomm-reveals-snapdragon-x-chip-for-ai-pcs-new-desktop-system-at-ces-2025-160059336.html,AAPL
10:23AM,Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?,https://finance.yahoo.com/m/ce2ffe06-f882-3e0d-8b97-fa77d137e8bb/warren-buffett-stocks%3A-what%27s.html,AAPL
10:02AM,New Apple finance chief awarded $1M salary,https://finance.yahoo.com/m/9d345425-a5f2-3398-a0b4-a0f0dfa073eb/new-apple-finance-chief.html,AAPL
09:01AM,"Tech Giant's Bold 2025 Vision: Apple Unveils iPhone 17, M4 MacBook Air, and More!",https://finance.yahoo.com/news/tech-giants-bold-2025-vision-140127235.html,AAPL
07:05AM,1 Wall Street Analyst Thinks Apple Is Going to $325. Is It a Buy Around $250?,https://finance.yahoo.com/m/44a05da5-e185-32bd-9c31-decfc09a69ab/1-wall-street-analyst-thinks.html,AAPL
