Simulation,Portfolio Size,Return (%),Sharpe Ratio,Portfolio
1,9,71.45720724786521,1.9726787394009848,"{'WBD': 0.03931408553659474, 'CCL': 0.026328520998875456, 'TSLA': 0.26824380196167935, 'C': 0.12459219291574014, 'BAC': 0.06629984246387557, 'PLTR': 0.29648410171796685, 'LYFT': 0.01679733548160263, 'XOM': 0.018613133509649223, 'AMD': 0.14332698541401626}"
2,4,100.38316772920692,1.4280015225058051,"{'AAPL': 0.11414673951261729, 'COIN': 0.798998675244594, 'JPM': 0.05545475560776528, 'F': 0.03139982963502346}"
3,3,75.67129018775437,2.0962656139665885,"{'META': 0.927435023879924, 'AAL': 0.05841977044581183, 'WBD': 0.01414520567426412}"
4,12,24.170088584623116,1.3226148806119415,"{'VALE': 0.008549563756925588, 'BAC': 0.01648083539625219, 'JD': 0.10350990982278015, 'VZ': 0.17516579871665175, 'F': 0.12599105771301758, 'GOOG': 0.12386886682947632, 'META': 0.1485942824643827, 'PLUG': 0.0022648014222429688, 'C': 0.12694486206778377, 'LCID': 0.010706292964316287, 'GM': 0.0689809085561001, 'NOK': 0.0889428202900705}"
5,3,81.4399997905811,1.5572402377783758,"{'DNA': 0.08047791604989676, 'INTC': 0.04456454694530703, 'HOOD': 0.8749575370047961}"
6,11,43.075753911234585,1.7560994718898815,"{'SOFI': 0.16527297181311248, 'T': 0.04783750610226059, 'SHOP': 0.16702337576780066, 'AMZN': 0.1309345720208308, 'VALE': 0.005288989671587689, 'MSFT': 0.14999548122036355, 'XOM': 0.06573423087470699, 'AAPL': 0.015592287931825714, 'AAL': 0.053705536999663905, 'GOOGL': 0.19521157546418583, 'LCID': 0.0034034721336617794}"
7,8,45.62910485711014,1.8059829151147992,"{'PLUG': 0.022333722335711688, 'NFLX': 0.15485166071681325, 'SHOP': 0.15612026505346474, 'T': 0.005554471299299097, 'GOOGL': 0.13765661413221428, 'CCL': 0.3215537587587135, 'DIS': 0.00556784963593238, 'PBR': 0.19636165806785102}"
8,11,59.434110733968545,1.7255398745381083,"{'AMD': 0.04546851124959412, 'COIN': 0.2752095416807329, 'AMZN': 0.10648190870430907, 'GM': 0.09014270387841102, 'NFLX': 0.11727655531041441, 'DIS': 0.03631963208440928, 'PINS': 0.01000190355894882, 'NIO': 0.10369420442904792, 'META': 0.17682945538806963, 'KO': 0.03267210986295162, 'AAL': 0.0059034738531112746}"
9,11,56.39850927663703,1.826325963120197,"{'SOFI': 0.25599902450082984, 'DNA': 0.01732476237741712, 'JD': 0.0098812765439788, 'HOOD': 0.06427410627118384, 'DIS': 0.029549737574973745, 'EGO': 0.10808759577093516, 'GOOGL': 0.010694555373456774, 'PFE': 0.06322015816291293, 'INTC': 0.018396676021476866, 'PLTR': 0.17450219438834708, 'BAC': 0.2480699130144879}"
10,5,63.91145252005516,2.1865707647999044,"{'C': 0.13270910354740792, 'META': 0.7136868495551505, 'AAL': 0.06168243550219314, 'DIS': 0.01790273204458447, 'CSCO': 0.07401887935066387}"
